Julian Waddy|propio|Hipsterlativo|105296|@alejoeder Aún se puede remontar. No dejemos que la ciudad caiga en malas manos ✊
Taliana Vargas|retweet|TalianaV|2109535|No sigamos fallando como sociedad. Desde lo público tenemos que garantizar que cada caleño tenga una vida digna. https://t.co/PDBiXdbX3P
Santiago de Cali|propio|SantiagoDeCali_|29502|El encuestador @TomasLombana cuestiona las últimas encuestas @Datexco @Guarumoapps #alcaldiadecali señala el crecimiento del tibio @Michel_Maya y del empresario del Chance @robertoortizu y la caída del Ex alcalde @JorgeIvanOspina y del candidato de @MauriceArmitage @alejoeder https://t.co/GUzvNxh4Xa
Rodrigo Guerrero|retweet|rodrigoguerrerr|14511|Buenos días. Hoy, durante 24 horas y sin parar, voy a recorrer la ciudad y varias de sus zonas más inseguras para dar a conocer mi propuesta de seguridad. Porque a Cali tenemos que blindarla y yo, personalmente, voy a comandar la estrategia para lograrlo.
Ricardo Sabogal U|retweet|RicardoSabogalU|34825|Buenos días. Hoy, durante 24 horas y sin parar, voy a recorrer la ciudad y varias de sus zonas más inseguras para dar a conocer mi propuesta de seguridad. Porque a Cali tenemos que blindarla y yo, personalmente, voy a comandar la estrategia para lograrlo.
Luis G. Murillo|retweet|LuisGMurillo|23819|No sigamos fallando como sociedad. Desde lo público tenemos que garantizar que cada caleño tenga una vida digna. https://t.co/PDBiXdbX3P
Samuel Azout|retweet|samuelazout|45900|No sigamos fallando como sociedad. Desde lo público tenemos que garantizar que cada caleño tenga una vida digna. https://t.co/PDBiXdbX3P
Roberto Ortiz|retweet|robertoortizu|10893|A esta hora se adelanta debate organizado en la comuna 22 por el colegio Líderes, en el participan @DanisRenteria @Michel_Maya @alejoeder @robertoortizu @JorgeIvanOspina https://t.co/i0k04OdM7J
Ricardo Sabogal U|retweet|RicardoSabogalU|34825|No sigamos fallando como sociedad. Desde lo público tenemos que garantizar que cada caleño tenga una vida digna. https://t.co/PDBiXdbX3P
Alejandro Eder|retweet|alejoeder|12967|"Desde mi Alcaldia vamos a trabajar para que los puestos administrativos de la Policía los hagan civiles  y así tener más policías en las calles. Tenemos que fortalecer la familia para que recuperen los valores y cuiden a sus niños" @alejoeder #CicloDeDebatesCali2019
Rodrigo Guerrero|retweet|rodrigoguerrerr|14511|3. Necesitamos una política subregional de seguridad. Cali está rodeada de crímenes transnacionales y requiere de un líder que logre mediar ante el Gobierno Nacional.
Rodrigo Guerrero|retweet|rodrigoguerrerr|14511|Le vamos a quitar a Cali la vergonzosa etiqueta como una de las ciudades más violentas de Colombia. Necesitamos: 1. Mayor autoridad y trabajo articulado entre la fuerza pública y la justicia. #CicloDebatesCali2019 https://t.co/09pKVD46xO
